Cleaned Address,Latitude,Longitude,Count
10300 s doty,41.806889999999996,-87.69311,1958
400 e lower wacker,41.80817,-87.69183,250
701 n sacramento,41.80827,-87.69173,2756
chicago ohare international airport remote lot e,41.8088,-87.69120000000001,2
police pound,41.80614,-87.69386,1
